"","String","Count"
"1","one_of_the",167285
"2","a_lot_of",143368
"3","the_united_states",125280
"4","out_of_the",78526
"5","as_well_as",75459
"6","going_to_be",73736
"7","some_of_the",68687
"8","to_be_a",61930
"9","part_of_the",60849
"10","the_end_of",58462
"11","it_was_a",57015
"12","i_don't_know",54861
"13","be_able_to",49051
"14","i_think_that",47566
"15","the_fact_that",47357
"16","n't_want_to",47260
"17","i_don't_think",43814
"18","and_i_think",43185
"19","there_is_a",42811
"20","the_rest_of",42693
"21","i_want_to",42566
"22","this_is_a",42109
"23","there_was_a",41746
"24","you_have_to",41203
"25","in_front_of",40678
"26","end_of_the",40586
"27","most_of_the",40189
"28","i_think_it",38730
"29","the_first_time",38558
"30","is_going_to",38282
"31","do_you_think",37724
"32","in_the_united",37578
"33","in_new_york",37394
"34","in_order_to",37327
"35","in_the_world",37251
"36","you_want_to",36458
"37","a_couple_of",35909
"38","a_number_of",33634
"39","on_the_other",33614
"40","in_terms_of",33570
"41","what_do_you",33476
"42","there_is_no",33353
"43","this_is_the",33271
"44","percent_of_the",33166
"45","the_number_of",33020
"46","not_going_to",32723
"47","it_would_be",32714
"48","of_the_world",32608
"49","at_the_same",32528
"50","back_to_the",31956
"51","the_same_time",31312
"52","for_the_first",29565
"53","in_the_middle",29529
"54","it_is_a",29477
"55","to_do_with",29477
"56","to_be_the",29458
"57","in_the_past",28912
"58","at_the_end",28639
"59","it_was_the",28584
"60","a_little_bit",28432
"61","of_the_most",28395
"62","was_going_to",28386
"63","are_going_to",28339
"64","to_have_a",28327
"65","at_the_time",27917
"66","because_of_the",27840
"67","don't_want_to",27508
"68","we_have_to",26511
"69","side_of_the",26504
"70","more_than_a",26503
"71","have_to_be",26386
"72","i_think_the",26122
"73","is_one_of",25862
"74","there_was_no",25567
"75","the_use_of",25208
"76","in_the_first",24975
"77","n't_have_to",24596
"78","according_to_the",24265
"79","as_a_result",24215
"80","many_of_the",23866
"81","all_of_the",23828
"82","rest_of_the",23802
"83","look_at_the",23717
"84","that_he_was",23702
"85","going_to_have",23535
"86","the_kind_of",23351
"87","and_it_was",23308
"88","to_go_to",23276
"89","the_new_york",23072
"90","he_was_a",22842
"91","would_have_been",22414
"92","the_middle_of",22344
"93","that_it_was",22272
"94","it_is_not",22213
"95","as_long_as",21910
"96","i_have_to",21880
"97","to_make_a",21774
"98","as_much_as",21477
"99","members_of_the",21422
"100","the_white_house",21155
"101","of_the_united",20726
"102","to_do_it",20647
"103","but_it_was",20447
"104","a_series_of",20380
"105","want_to_be",20301
"106","when_i_was",20198
"107","a_long_time",20080
"108","and_in_the",20015
"109","in_the_same",19907
"110","we_have_a",19796
"111","in_the_last",19723
"112","i_think_we",19707
"113","i_wanted_to",19684
"114","is_that_the",19536
"115","we_need_to",19519
"116","the_other_hand",19511
"117","you_have_a",19321
"118","n't_know_what",19301
"119","up_to_the",19246
"120","in_addition_to",19050
"121","how_do_you",18884
"122","director_of_the",18837
"123","lot_of_people",18765
"124","i_don't_want",18745
"125","is_not_a",18696
"126","away_from_the",18582
"127","the_back_of",18498
"128","a_variety_of",18415
"129","such_as_the",18402
"130","president_of_the",18371
"131","when_he_was",18083
"132","to_try_to",17708
"133","one_of_those",17635
"134","of_the_new",17585
"135","but_i_think",17564
"136","in_the_early",17518
"137","by_the_time",17500
"138","going_to_do",17448
"139","as_far_as",17430
"140","all_the_time",17400
"141","you_know_what",17383
"142","the_top_of",17372
"143","to_make_the",17365
"144","it_is_the",17305
"145","to_deal_with",17295
"146","go_to_the",17132
"147","to_talk_about",17124
"148","was_one_of",17094
"149","i_have_a",17036
"150","much_of_the",16989
"151","a_matter_of",16975
"152","if_you_do",16953
"153","up_in_the",16898
"154","that_it_is",16885
"155","can_not_be",16881
"156","to_take_a",16808
"157","as_soon_as",16714
"158","it_will_be",16651
"159","i_had_to",16631
"160","would_be_a",16530
"161","a_kind_of",16473
"162","and_i_was",16415
"163","to_make_sure",16399
"164","to_get_a",16375
"165","to_get_the",16326
"166","this_is_not",16278
"167","to_look_at",16238
"168","in_this_country",16194
"169","at_a_time",16176
"170","would_like_to",16162
"171","and_i_do",15992
"172","one_of_them",15957
"173","a_sense_of",15932
"174","in_the_morning",15898
"175","need_to_be",15860
"176","to_see_the",15857
"177","front_of_the",15853
"178","the_idea_of",15850
"179","that_he_had",15760
"180","member_of_the",15724
"181","a_group_of",15564
"182","was_in_the",15517
"183","going_to_get",15513
"184","for_a_moment",15473
"185","to_say_that",15367
"186","to_be_in",15254
"187","part_of_a",15130
"188","but_i_do",15090
"189","as_part_of",15075
"190","in_which_the",15060
"191","but_it_is",14825
"192","of_the_year",14800
"193","had_to_be",14773
"194","to_be_able",14761
"195","top_of_the",14749
"196","of_the_american",14623
"197","of_the_country",14621
"198","to_do_that",14568
"199","in_the_country",14549
"200","we_want_to",14485
"201","seems_to_be",14449
"202","and_this_is",14445
"203","that_there_is",14425
